,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
3126,3126,,,,,,,,23847.0,,,,Medford,,,COED,Certificate,42.3281,-122.8639,,20700,,21300,Private for-profit,0.025,0.025,0.87999999523162,0.1375,,0.0,,0.811,,0.8125,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Abdill Career College Inc,www.abdill.com,14955.0,OR,,,208123,80.0,97504-7137,0.68000000715255,16756.08
3127,3127,,,,,,,,,,,,Portland,,,COED,Certificate,,,,,,,Private for-profit,0.0,0.0,1,0.0455,,0.0,,0.0,,0.875,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Paul Mitchell the School-Portland,portland.paulmitchell.edu:,4902.0,OR,,,208187,88.0,97205,0.52999997138977,24298.85
3128,3128,,,,,,,31642.0,,"Special Focus Institutions--Schools of art, music, and design",,,Portland,0.3107,4917.0,COED,Bachelors,45.5241,-122.6826,37400,29200,33000,25000,Private for-profit,0.026,0.0074,0.51999998092651,0.1031,,0.3175,0.2012,0.5645,,0.1847,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,The Art Institute of Portland,www.artinstitutes.edu/portland/,3957.0,OR,17416.0,17416.0,208239,1348.0,97209-2911,0.36000001430511,58048.21
3129,3129,,,,,,,,12315.0,,,,Portland,,,COED,Certificate,45.5169,-122.6865,24400,21200,20700,18400,Private for-profit,0.0079,0.119,0.80000001192092,0.1111,,0.0,,0.4794,,0.7302,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Beau Monde College of Hair Design,www.beaumondecollege.com,3652.0,OR,,,208248,126.0,97205,0.46000000834465,36963.99
3130,3130,,,,,,,14325.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Pendleton,,5525.0,COED,Associate,45.6773,-118.8169,33100,28300,28800,24600,Public,0.009,0.011,0.73000001907348,0.191,,0.3761,0.3011,0.3296,,0.6923,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Blue Mountain Community College,www.bluecc.edu,5364.0,OR,3998.0,11390.0,208275,1550.0,97801,0.54000002145767,30961.24
3131,3131,,,,,,,13931.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Bend,,6646.0,COED,Associate,44.0707,-121.3458,33500,28100,29500,24800,Public,0.0091,0.0075,0.61000001430511,0.0807,,0.5271,0.3571,0.5128,,0.7585,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Central Oregon Community College,www.cocc.edu,4445.0,OR,3393.0,8541.0,208318,6282.0,97701,0.49000000953674,36451.75
3132,3132,,,,,,,11615.0,,Associate's--Public Rural-serving Large,"Large 2-year ( 5000 to 9,999)",Mixed part/full-time two-year,Salem,,6353.0,COED,Associate,44.9782,-122.9772,33200,27500,29700,24600,Public,0.0153,0.0142,0.62000000476837,0.1953,,0.4669,0.2846,0.473,,0.6274,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Chemeketa Community College,www.chemeketa.edu,5265.0,OR,4320.0,11610.0,208390,10393.0,97305,0.54000002145767,29363.59
3133,3133,,,,,,,7448.0,,Associate's--Public Suburban-serving Multicampus,"Medium 2-year (2000 to 4,999)",Higher part-time two-year,Oregon City,,7078.0,COED,Associate,45.3232,-122.5743,37700,30100,33800,26600,Public,0.0344,0.0175,0.60000002384185,0.1018,,0.6143,0.245,0.3415,,0.6515,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Clackamas Community College,www.clackamas.edu,7307.0,OR,4133.0,11558.0,208406,7355.0,97045-8980,0.50999999046325,33442.33
3134,3134,,,,,,,11193.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Higher part-time two-year,Astoria,,6940.0,COED,Associate,46.1832,-123.8248,29100,26700,23900,22500,Public,0.0175,0.0037,0.61000001430511,0.1298,,0.4657,0.2596,0.371,,0.7703,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Clatsop Community College,www.clatsopcc.edu,6489.0,OR,4428.0,8406.0,208415,801.0,97103,0.50999999046325,24669.45
3135,3135,,,,,,,,11988.0,,,,Salem,,,COED,Certificate,44.95,-122.982,PrivacySuppressed,18100,PrivacySuppressed,18900,Private for-profit,0.0,0.0,1,0.1176,,0.0,,0.4804,,0.7647,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,College of Hair Design Careers,www.collegeofhairdesigncareers.com,1098.0,OR,,,208433,68.0,97301-1952,0.34000000357627,45279.84
3136,3136,,,,,1.0,,,23703.0,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Portland,,4546.0,COED,Associate,45.5279,-122.6493,26800,25700,27200,25800,Private for-profit,0.0454,0.0314,0.9200000166893,0.1308,,0.0,0.7917,0.4459,,0.6314,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Concorde Career College-Portland,www.concorde.edu,5349.0,OR,,,208479,925.0,97232-4203,0.61000001430511,29855.35
3137,3137,21.0,21.0,21.0,,0.5592,,35963.0,,Master's Colleges and Universities (larger programs),"Small 4-year, primarily residential (1,000 to 2,999)","Full-time four-year, selective, higher transfer-in",Portland,0.5549,7401.0,COED,Graduate,45.5682,-122.6379,45100,38900,41800,32600,Private nonprofit,0.0653,0.0588,0.64999997615814,0.0689,,0.1393,0.2227,0.4485,,0.5435,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",Lutheran Church - Missouri Synod,500.0,993.0,495.0,,Concordia University-Portland,www.cu-portland.edu,3210.0,OR,27492.0,27492.0,208488,1378.0,97211-6099,0.34999999403953,64443.3
3138,3138,,,,,,,,20819.0,,,,Portland,,3636.0,COED,Associate,45.4608,-122.7061,32300,28300,29900,26700,Private for-profit,0.0722,0.1255,0.74000000953674,0.0951,,0.0114,0.4063,0.4601,,0.673,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Sumner College,www.sumnercollege.edu/#,2948.0,OR,,,208512,263.0,97219,0.77999997138977,33505.95
3139,3139,,,,,,,,,,,,Portland,,,COED,Certificate,45.5287,-122.6604,PrivacySuppressed,24300,PrivacySuppressed,21200,Private for-profit,0.0163,0.0163,0.85000002384185,0.0285,,1.0,,0.4389,,0.8537,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,East West College of the Healing Arts,www.eastwestcollege.com,5633.0,OR,,,208637,246.0,97232-0000,0.76999998092651,34090.75
3140,3140,,,,,0.67,,18959.0,,Master's Colleges and Universities (smaller programs),"Small 4-year, primarily nonresidential (1,000 to 2,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",La Grande,0.2325,6057.0,COED,Graduate,45.3204,-118.0938,40200,33000,37800,30000,Public,0.0222,0.0286,0.62999999523162,0.0634,,0.377,0.8714,0.5105,,0.7916,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,465.0,935.0,470.0,455.0,Eastern Oregon University,www.eou.edu,6622.0,OR,7530.0,16755.0,208646,3422.0,97850,0.43000000715255,47863.56
3141,3141,,,,,,,,14188.0,,,,Portland,,,COED,Certificate,45.5341,-122.6499,23200,19900,16000,16400,Private for-profit,0.0152,0.197,0.88999998569488,0.0606,,0.0,,0.9054,,0.6894,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans School of Hair Design-Portland,www.phagans.com,1698.0,OR,,,208655,132.0,97232,0.50999999046325,33559.74
3142,3142,,,,,0.1594,,21311.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Eugene,0.3636,3521.0,COED,Bachelors,44.0331,-123.1537,24900,24100,23200,22100,Private nonprofit,0.0279,0.0559,0.43999999761581,0.067,,0.1397,1.0,0.5766,,0.648,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",Other Protestant,,,,,New Hope Christian College-Eugene,www.newhope.edu,5952.0,OR,14750.0,14750.0,208725,179.0,97405,0.23000000417232,53188.23
3143,3143,23.0,24.0,23.0,7.0,0.7528,,41836.0,,Master's Colleges and Universities (larger programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Newberg,0.623,6742.0,COED,Graduate,45.304,-122.9684,46900,38000,43300,33400,Private nonprofit,0.0373,0.0187,0.63999998569488,0.0725,,0.106,0.4485,0.364,,0.704,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",Friends,535.0,1070.0,535.0,525.0,George Fox University,www.georgefox.edu,8922.0,OR,31120.0,31120.0,208822,2358.0,97132,0.20000000298023,78838.13
3144,3144,,,,,,,,12413.0,,,,Grants Pass,,,COED,Certificate,42.4381,-123.3259,17300,18100,14200,15300,Private for-profit,0.0,0.0,0.98000001907348,0.0,,0.0,,0.8667,,0.8974,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans Grants Pass College of Beauty,www.phagans-schools.com,10019.0,OR,,,208859,39.0,97526,0.56000000238418,20773.13
3145,3145,,,,,0.8341,,27139.0,,Special Focus Institutions--Other technology-related schools,,,Portland,0.252,5587.0,COED,Bachelors,45.5754,-122.5655,42300,33700,38400,30300,Private for-profit,0.0545,0.0529,0.17000000178813,0.0446,,0.3091,0.2131,0.6497,,0.7901,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,ITT Technical Institute-Portland,www.itt-tech.edu,5065.0,OR,18048.0,18048.0,208965,605.0,97220,0.54000002145767,35811.24
3146,3146,,,,,,,13732.0,,Associate's--Public Rural-serving Large,"Large 2-year ( 5000 to 9,999)",Mixed part/full-time two-year,Eugene,,6770.0,COED,Associate,44.0102,-123.0335,32000,25600,28100,21600,Public,0.0125,0.0212,0.56999999284744,0.0895,,0.5252,0.3875,0.5883,,0.6874,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Lane Community College,www.Lanecc.edu,11526.0,OR,3776.0,8456.0,209038,9805.0,97405-0640,0.5,33144.37
3147,3147,29.0,,,,0.6285,,53455.0,,Baccalaureate Colleges--Arts & Sciences,"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, more selective, lower transfer-in",Portland,0.7451,9221.0,COED,Graduate,45.4505,-122.6725,49900,32000,43400,27500,Private nonprofit,0.0605,0.0217,0.63999998569488,0.0841,,0.0101,0.5422,0.2135,,0.6479,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,625.0,1279.0,650.0,635.0,Lewis & Clark College,www.lclark.edu/,14496.0,OR,41928.0,41928.0,209056,1985.0,97219-7899,0.18000000715255,83576.98
3148,3148,24.0,23.0,24.0,,0.9219,,45708.0,,Baccalaureate Colleges--Arts & Sciences,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",McMinnville,0.6786,7064.0,COED,Bachelors,45.2013,-123.2005,54200,46000,51300,41600,Private nonprofit,0.0597,0.0189,0.64999997615814,0.0945,,0.0158,0.916,0.255,,0.6435,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",American Baptist,550.0,1090.0,540.0,520.0,Linfield College-McMinnville Campus,www.linfield.edu,13664.0,OR,36310.0,36310.0,209065,1641.0,97128-6894,0.30000001192092,79097.27
3149,3149,,,,,,,12996.0,,Associate's--Public Rural-serving Large,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Albany,,7426.0,COED,Associate,44.587,-123.115,35800,27400,31500,24400,Public,0.0243,0.0102,0.56000000238418,0.0792,,0.5334,0.2743,0.3734,,0.7779,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Linn-Benton Community College,www.linnbenton.edu,7340.0,OR,4137.0,8757.0,209074,5480.0,97321,0.43000000715255,34117.61
3150,3150,,,,,,,,15418.0,,,,Beaverton,,,COED,Certificate,45.4895,-122.8062,20000,19500,17200,18000,Private for-profit,0.04,0.0,0.95999997854232,0.27,,0.0,,0.5616,,0.67,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Northwest College-Beaverton,www.nwcollege.edu,1459.0,OR,,,209083,100.0,97005,0.37999999523162,42191.75
3151,3151,,,,,0.3889,,34155.0,,Master's Colleges and Universities (larger programs),"Very small 4-year, primarily nonresidential (less than 1,000,)",Higher part-time four-year,Marylhurst,0.2143,4526.0,COED,Graduate,45.3982,-122.6478,40400,32100,33300,30800,Private nonprofit,0.0164,0.0342,0.73000001907348,0.0759,,0.7396,0.2109,0.5239,,0.7679,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",Roman Catholic,,,,,Marylhurst University,www.marylhurst.edu,7746.0,OR,19665.0,19665.0,209108,672.0,97036-0261,0.81000000238418,48033.13
3152,3152,,,,,,,,12856.0,,,,Medford,,,COED,Certificate,42.3519,-122.871,17100,15000,14300,10100,Private for-profit,0.0,0.0,0.88999998569488,0.1493,,0.0,,0.9138,,0.7463,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans Medford Beauty School,www.phagans-schools.com,10583.0,OR,,,209153,67.0,97504,0.56000000238418,22403.82
3153,3153,,,,,,,,15296.0,,,,Clackamas,,,COED,Certificate,45.4383,-122.5777,20000,19500,17200,18000,Private for-profit,0.0213,0.0638,0.94999998807907,0.0638,,0.0,,0.2979,,0.8156,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Northwest College-Clackamas,www.nwcollege.edu,1209.0,OR,,,209205,141.0,97086,0.5,32077.39
3154,3154,,,,,1.0,,31917.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Saint Benedict,0.5789,4830.0,MENONLY,Graduate,45.0579,-122.7754,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private nonprofit,0.1,0.0286,0,0.3429,,0.0,0.6829,0.2597,,0.4143,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",Roman Catholic,,,,,Mount Angel Seminary,www.mountangelabbey.org/seminary/index.html,21747.0,OR,19018.0,19018.0,209241,70.0,97373-0505,0.64999997615814,22067.12
3155,3155,,,,,,,14521.0,,Associate's--Public Suburban-serving Single Campus,"Large 2-year ( 5000 to 9,999)",Mixed part/full-time two-year,Gresham,,7774.0,COED,Associate,45.5121,-122.3965,36700,29100,33100,26100,Public,0.0584,0.0583,0.62000000476837,0.095,,0.5244,0.2878,0.4603,,0.6326,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Mt Hood Community College,www.mhcc.edu,3015.0,OR,4602.0,10002.0,209250,8530.0,97030,0.47999998927116,31990.41
3156,3156,23.0,,,,0.538,,33878.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Portland,0.4714,5433.0,COED,Graduate,45.5182,-122.6825,34500,27800,31400,24600,Private nonprofit,0.0228,0.0251,0.43000000715255,0.0708,,0.1826,0.2947,0.5924,,0.8037,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,535.0,1104.0,575.0,540.0,Multnomah University,www.multnomah.edu,5444.0,OR,21850.0,21850.0,209287,438.0,97220,0.23000000417232,56167.68
3157,3157,,,,,,,,,Special Focus Institutions--Other health professions schools,,,Portland,,4628.0,COED,Graduate,45.5016,-122.6784,PrivacySuppressed,,PrivacySuppressed,,Private nonprofit,,,,,,,0.3542,,,,Graduate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,National College of Natural Medicine,www.ncnm.edu,11041.0,OR,,,209296,,97201-4848,,
3158,3158,,,,,0.8,,,14386.0,,,,Lake Oswego,,,COED,Certificate,45.4269,-122.707,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0476,0.0,0.98000001907348,0.0,,0.0,,0.65,,0.6667,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Northwest Nannies Institute,nwnanny.com,766.0,OR,,,209348,21.0,97035,0.10999999940395,52618.73
3159,3159,21.0,19.0,21.0,,0.7044,,34807.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily residential (less than 1,000)","Full-time four-year, selective, higher transfer-in",Eugene,0.4615,5040.0,COED,Graduate,44.0475,-123.0798,43300,36300,38500,30800,Private nonprofit,0.0272,0.0188,0.58999997377395,0.0774,,0.2071,0.9706,0.4956,,0.8117,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",Christian Church (Disciples of Christ),483.0,974.0,493.0,485.0,Northwest Christian University,www.nwcu.edu/,4480.0,OR,24930.0,24930.0,209409,478.0,97401-3745,0.44999998807907,57021.76
3160,3160,,,,,,,,,Special Focus Institutions--Medical schools and medical centers,,,Portland,,9663.0,COED,Graduate,45.4988,-122.6861,87100,85100,74100,73400,Public,0.0577,0.0144,0.72000002861022,0.0577,,0.7464,0.5578,0.3176,,0.7644,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Oregon Health & Science University,www.ohsu.edu/xd,62925.0,OR,,,209490,832.0,97239-3098,0.73000001907348,33936.87
3161,3161,23.0,21.0,24.0,,0.7135,,18801.0,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily nonresidential (1,000 to 2,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Klamath Falls,0.444,6667.0,COED,Graduate,42.2572,-121.7852,53800,47400,50100,49600,Public,0.0561,0.0119,0.5,0.0746,,0.323,0.8969,0.3621,,0.7511,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,520.0,1025.0,495.0,475.0,Oregon Institute of Technology,www.oit.edu,9094.0,OR,8548.0,22188.0,209506,3443.0,97601-8801,0.37999999523162,49667.8
3162,3162,,,,,0.3053,,35850.0,,"Special Focus Institutions--Schools of art, music, and design",,,Portland,0.3333,5191.0,COED,Graduate,45.5106,-122.7609,PrivacySuppressed,23800,PrivacySuppressed,21200,Private nonprofit,0.0216,0.0072,0.61000001430511,0.1079,,0.1583,0.5882,0.539,,0.6259,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Oregon College of Art and Craft,www.ocac.edu,18574.0,OR,27145.0,27145.0,209533,139.0,97225,0.68000000715255,32650.64
3163,3163,24.0,24.0,25.0,,0.7894,,22974.0,,Research Universities (very high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, selective, higher transfer-in",Corvallis,0.6147,8692.0,COED,Graduate,44.5645,-123.2742,51200,39400,46400,33500,Public,0.0662,0.0128,0.50999999046325,0.0733,,0.1893,0.7417,0.3339,,0.6897,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,560.0,1102.0,540.0,,Oregon State University,oregonstate.edu,10145.0,OR,8322.0,23514.0,209542,22349.0,97331,0.18000000715255,66705.26
3164,3164,25.0,24.0,25.0,,0.7417,,22390.0,,Research Universities (very high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, selective, higher transfer-in",Eugene,0.6653,8828.0,COED,Graduate,44.0445,-123.074,46800,36100,41600,31500,Public,0.0513,0.0199,0.56000000238418,0.0813,,0.0782,0.7024,0.2585,,0.6425,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,560.0,1108.0,545.0,,University of Oregon,www.uoregon.edu,11641.0,OR,9763.0,29788.0,209551,20473.0,97403,0.18999999761581,71151.8
3165,3165,,,,,0.6474,,43235.0,,"Special Focus Institutions--Schools of art, music, and design",,,Portland,0.3556,4332.0,COED,Graduate,45.5286,-122.6838,28400,26800,22600,19300,Private nonprofit,0.0363,0.0097,0.58999997377395,0.0508,,0.138,0.2872,0.5,,0.7482,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Pacific Northwest College of Art,www.pnca.edu,12043.0,OR,32417.0,32417.0,209603,413.0,97209-3023,0.37000000476837,56357.1
3166,3166,24.0,,,,0.8619,,47922.0,,Master's Colleges and Universities (larger programs),"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, selective, lower transfer-in",Forest Grove,0.6156,7478.0,COED,Graduate,45.5214,-123.1088,46600,33500,42300,31300,Private nonprofit,0.1313,0.0139,0.63999998569488,0.1035,,0.0081,0.6571,0.3145,,0.5281,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,555.0,1102.0,545.0,,Pacific University,www.pacificu.edu,11413.0,OR,37024.0,37024.0,209612,1729.0,97116,0.12999999523162,73104.75
3167,3167,,,,,,,,12921.0,,,,Corvallis,,,COED,Certificate,44.5637,-123.2605,PrivacySuppressed,16200,PrivacySuppressed,15500,Private for-profit,0.0,0.0189,0.94999998807907,0.0755,,0.0,,0.8488,,0.8302,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans Beauty College,www.phagans-schools.com,11806.0,OR,,,209667,53.0,97333,0.47999998927116,30550.15
3168,3168,,,,,,,,12670.0,,,,Bend,,,COED,Certificate,44.0633,-121.2648,18700,16100,14300,14000,Private for-profit,0.0,0.0,0.95999997854232,0.0752,,0.0,,0.7438,,0.8496,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans Central Oregon Beauty College,www.phagans-schools.com,10084.0,OR,,,209676,133.0,97701,0.56000000238418,34131.07
3169,3169,,,,,,,,13161.0,,,,Salem,,,COED,Certificate,44.9384,-122.9828,21000,PrivacySuppressed,20400,PrivacySuppressed,Private for-profit,0.0408,0.0,0.79000002145767,0.3469,,0.0,,0.9082,,0.4694,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans School of Beauty,www.phagans-schools.com,10880.0,OR,,,209694,49.0,97301,0.60000002384185,22222.36
3170,3170,,,,,,,,14070.0,,,,Happy Valley,,,COED,Certificate,45.4365,-122.579,21700,PrivacySuppressed,20100,PrivacySuppressed,Private for-profit,0.0341,0.0739,0.99000000953674,0.108,,0.0,,0.8383,,0.6989,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans School of Hair Design,www.phagans.com,1699.0,OR,,,209700,176.0,97086,0.37000000476837,37193.83
3171,3171,,,,,,,,17529.0,,,,Tigard,,,COED,Certificate,45.434,-122.7666,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0,0.1111,0.98000001907348,0.0,,0.0,,0.7903,,0.8519,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Phagans Tigard Beauty School,www.phagansnw.com,3306.0,OR,,,209719,27.0,97223,0.4699999988079,36333.64
3172,3172,,,,,,,12483.0,,Associate's--Public Urban-serving Multicampus,"Very large 2-year (10,000 or more)",Mixed part/full-time two-year,Portland,,6859.0,COED,Associate,45.4387,-122.7314,37700,30700,33100,27100,Public,0.0627,0.0581,0.60000002384185,0.1044,,0.5581,0.228,0.4424,,0.6143,Associate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Portland Community College,www.pcc.edu,6248.0,OR,3448.0,8056.0,209746,29774.0,97219-7132,0.61000001430511,30577.09
3173,3173,,,,,0.6117,,19843.0,,Research Universities (high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Medium full-time four-year, selective, higher transfer-in",Portland,0.417,8286.0,COED,Graduate,45.5112,-122.6836,48100,36200,42800,32500,Public,0.0769,0.0343,0.56999999284744,0.1009,,0.2992,0.5033,0.4019,,0.6232,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,520.0,1045.0,525.0,,Portland State University,www.pdx.edu,8562.0,OR,7878.0,23088.0,209807,20085.0,97201,0.43000000715255,44977.8
3174,3174,,,,,0.668,,51036.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, more selective, lower transfer-in",Portland,0.755,7678.0,COED,Graduate,45.5718,-122.7269,54900,48500,51700,44700,Private nonprofit,0.1024,0.0087,0.63999998569488,0.0998,,0.0167,0.5985,0.2189,,0.6401,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",Roman Catholic,595.0,1195.0,600.0,,University of Portland,www.up.edu,10427.0,OR,38670.0,38670.0,209825,3468.0,97203-5798,0.07000000029802,98696.67
